id,file,symbol,lines,occurrences,category,owner,migration_decision
P01-0176,Server~/Navigation/ServerNavigation.cs,Vector3Dto,175,1,dotrecast_boundary,server_runtime,P05_isolate_single_JVector_RcVec3f_boundary
P01-0177,Server~/Navigation/ServerNavigation.cs,Vector3Dto,39;41;108;112;162;170;180;188;193,9,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0178,Server~/Navigation/ServerNavigation.cs,float,172;207,2,authoritative_server,server_runtime,P03_P06_migrate_to_JVector_Real_StableMath
P01-0179,Server~/Program.cs,ArtifactUploadRequest,173;176,2,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0180,Server~/Program.cs,ArtifactUploadResponse,162;185;201;212,4,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0181,Server~/Program.cs,HealthResponse,117;127,2,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0182,Server~/Program.cs,PathRequest,228;231,2,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0183,Server~/Program.cs,PathResponse,240;257;289;309,4,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0184,Server~/Program.cs,Vector3Dto,242;259;291;362,4,wire_contract,server_wire,P04_version_or_preserve_json_shape
P01-0185,Tests/Editor/NavigationEditorApiTests.cs,Vector3,206;207;208;209,4,test_fixture,tests,update_with_owner_contract
P01-0186,Tests/Editor/NavigationPerformanceProfileTests.cs,float,52;150,2,test_fixture,tests,update_with_owner_contract
P01-0187,Tests/Editor/NavigationProjectSettingsTests.cs,Vector3,312;313;314;315,4,test_fixture,tests,update_with_owner_contract
P01-0188,Tests/Editor/NavigationQuerySchedulerTests.cs,Vector3,33;34;35;36;46;47;271;272;317,9,test_fixture,tests,update_with_owner_contract
P01-0189,Tests/Editor/NavigationQuerySchedulerTests.cs,double,176;206,2,test_fixture,tests,update_with_owner_contract
P01-0190,Tests/Editor/NavigationQuerySchedulerTests.cs,float,278;303,2,test_fixture,tests,update_with_owner_contract
